epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4618,1.56444,6.63801,0.03114,0.00332,1,0.22678,0.08067,1.13277,8.13714,0.03903,3.334e-05,3.334e-05,3.334e-05
2,41.032,1.09119,6.54964,0.02146,0.0034,1,0.25394,0.12265,1.16843,8.15359,0.03695,8.05995e-05,8.05995e-05,8.05995e-05
3,59.1524,1.04268,5.90785,0.01861,0.00357,1,0.28255,0.15608,0.97476,7.99881,0.03079,0.000124558,0.000124558,0.000124558
4,77.0814,1.02446,6.29287,0.01916,0.00371,1,0.13369,0.08508,0.9356,7.97439,0.0318,0.000165216,0.000165216,0.000165216
5,95.5016,1.1144,7.05227,0.02401,0.00391,1,0.4012,0.23028,0.68895,7.73981,0.02305,0.000202574,0.000202574,0.000202574
6,113.732,0.90989,5.55054,0.01698,0.00397,1,0.44718,0.33594,0.57783,7.63778,0.01843,0.000236631,0.000236631,0.000236631
7,131.973,0.83503,5.36244,0.01468,0.00412,1,0.50819,0.38268,0.68494,7.6913,0.02172,0.000267387,0.000267387,0.000267387
8,150.245,0.79119,6.0455,0.01645,0.00425,1,0.52768,0.40375,0.66187,7.67093,0.02162,0.000294842,0.000294842,0.000294842
9,168.68,1.11291,5.15295,0.0191,0.00431,1,0.66271,0.5159,0.69079,7.66648,0.02236,0.000318997,0.000318997,0.000318997
10,186.788,1.17638,5.90942,0.0256,0.00434,1,0.58102,0.46989,0.57454,7.55771,0.01811,0.000339851,0.000339851,0.000339851
11,205.018,0.80616,6.76146,0.01851,0.00435,1,0.73,0.62062,0.5218,7.36853,0.01639,0.000357405,0.000357405,0.000357405
12,222.701,0.89009,4.75865,0.01495,0.00439,1,0.71821,0.60576,0.59407,7.31509,0.01831,0.000371658,0.000371658,0.000371658
13,241.073,0.99607,5.02753,0.0191,0.00441,1,0.76238,0.62392,0.63827,7.22909,0.0207,0.00038261,0.00038261,0.00038261
14,260.173,0.8758,4.99745,0.01542,0.00449,1,0.82571,0.65639,0.6797,7.2729,0.02302,0.000390261,0.000390261,0.000390261
15,280.842,0.87676,4.57736,0.01475,0.00457,1,0.82571,0.62324,0.80137,7.3169,0.0272,0.000394612,0.000394612,0.000394612
16,303.306,0.8799,4.08431,0.01537,0.00457,1,0.8375,0.62878,0.81018,7.29655,0.02689,0.000395662,0.000395662,0.000395662
17,324.335,1.03406,5.06511,0.02037,0.00465,1,0.94143,0.73085,0.74567,7.20058,0.02389,0.000393412,0.000393412,0.000393412
18,343.814,0.90283,4.11328,0.01575,0.00466,1,0.92208,0.68065,0.77012,7.24364,0.02456,0.000387861,0.000387861,0.000387861
19,363.06,0.8751,4.00982,0.01498,0.00463,1,0.89083,0.65539,0.74067,7.2892,0.02442,0.000379009,0.000379009,0.000379009
20,383.625,0.9735,4.01942,0.01633,0.00463,1,0.89083,0.6416,0.74284,7.27676,0.02492,0.000366857,0.000366857,0.000366857
21,403.147,1.0673,9.00478,0.03048,0.00453,1,0.91167,0.65169,0.71054,7.22475,0.02367,0.000351404,0.000351404,0.000351404
22,420.681,0.77792,8.25251,0.01897,0.00447,1,0.92208,0.65581,0.8414,7.17382,0.02784,0.00033265,0.00033265,0.00033265
23,438.456,0.80222,8.09916,0.01817,0.00439,1,0.95333,0.6482,0.8406,7.10414,0.02759,0.000310595,0.000310595,0.000310595
24,456.401,1.01617,8.74821,0.02105,0.00437,1,0.95333,0.65345,0.80061,7.01778,0.02561,0.00028524,0.00028524,0.00028524
25,474.418,0.72563,7.92769,0.01859,0.08734,1,0.95333,0.71969,0.77265,6.96715,0.02436,0.000256585,0.000256585,0.000256585
26,492.737,0.8117,7.98353,0.02034,0.31132,1,0.97,0.71491,0.75259,6.92716,0.02376,0.000224628,0.000224628,0.000224628
27,511.962,0.90298,7.98398,0.02092,0.47066,1,0.995,0.75586,0.90026,6.8422,0.02866,0.000189371,0.000189371,0.000189371
28,529.563,0.81067,7.97855,0.02268,0.68238,1,0.995,0.7482,0.90987,6.75149,0.02866,0.000150813,0.000150813,0.000150813
29,547.65,0.73468,7.85348,0.01951,0.68238,1,0.995,0.7482,0.90987,6.75149,0.02866,0.000108955,0.000108955,0.000108955
30,565.156,0.80771,8.00843,0.02195,0.95511,0.79872,0.995,0.75999,0.89913,6.64169,0.02824,6.37961e-05,6.37961e-05,6.37961e-05
